GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0060485	mesenchyme development	3.11834645959733e-05	3.11834645959733e-05	+1	ZFP36L1,SEMA4F,RET,LRP6,SFRP1,FERMT2,ROBO1,WWTR1,BNC2,SIX4,NRP1,TGFBR3,EMP2,KITLG,BMP2,FGFR2,PITX2,CDH2,BMP5,YAP1,TBX2,IGF1
GO:0002040	sprouting angiogenesis	0.000255637376003153	0.000255637376003153	+1	PTGS2,CCBE1,ROBO1,PARVA,PLK2,BMPER,NRP1,TGFBR3,ADAMTS9,TJP1,RHOJ,IL12A
GO:0060421	positive regulation of heart growth	0.000295435211923923	0.000295435211923923	+1	TGFBR3,GATA6,FGFR2,YAP1,TBX2,PROX1,IGF1
GO:0090596	sensory organ morphogenesis	0.000441743450657161	0.000441743450657161	+1	WNT9A,COL2A1,CABP4,ZEB1,FAT3,NTRK2,OTX1,LRIG1,SIX4,LARGE,PTPRM,FGFR2,MYO6,PITX2,EYA1,TBX2,PROX1,LRIG3,FAT1
GO:0003148	outflow tract septum morphogenesis	0.000442868441302297	0.000442868441302297	+1	ROBO1,PARVA,NRP1,GATA6,FGFR2,TBX2
GO:0035051	cardiocyte differentiation	0.000560093133780325	0.000560093133780325	+1	MYO18B,CXADR,TENM4,SORBS2,SGCB,TGFBR3,BMP2,LARGE,GATA6,PITX2,TBX2,PROX1,IGF1
GO:0014706	striated muscle tissue development	0.000560093133780325	0.000560093133780325	+1	MYO18B,CXADR,TENM4,SORBS2,SGCB,TGFBR3,ADAMTS9,BMP2,LARGE,GATA6,FGFR2,EYA1,BMP5,YAP1,TBX2,PROX1,IGF1
GO:0060411	cardiac septum morphogenesis	0.000611948085420304	0.000611948085420304	+1	ROBO1,PARVA,NRP1,TGFBR3,GATA6,FGFR2,BMP5,TBX2,PROX1
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	0.000643017057196718	0.000643017057196718	+1	CDH4,CDH19,CDH9,RET,FAT3,PCDH1,ROBO1,DSC2,PTPRM,CDH2,FAT1,CADM1,PCDH17,CDH11
GO:0010632	regulation of epithelial cell migration	0.000643017057196718	0.000643017057196718	+1	INSL3,PTGS2,CCBE1,PTPRG,EPB41L4B,SMOC2,PLK2,BMPER,MCC,NRP1,TGFBR3,EMP2,ADAMTS9,RHOJ,PTPRM,PROX1
GO:0042472	inner ear morphogenesis	0.000762126523094251	0.000762126523094251	+1	COL2A1,ZEB1,OTX1,LRIG1,SIX4,FGFR2,MYO6,EYA1,TBX2,PROX1,LRIG3
GO:0048738	cardiac muscle tissue development	0.000788061157116453	0.000788061157116453	+1	MYO18B,CXADR,TENM4,SORBS2,SGCB,TGFBR3,ADAMTS9,BMP2,LARGE,GATA6,FGFR2,BMP5,YAP1,TBX2,PROX1,IGF1
GO:0002067	glandular epithelial cell differentiation	0.000788061157116453	0.000788061157116453	+1	CAV1,BMP2,PGR,GATA6,FGFR2,CDH2,BMP5,YAP1,PROX1
GO:0030198	extracellular matrix organization	0.000983266592522804	0.000983266592522804	+1	ACAN,COL2A1,CAV1,APBB2,SMOC1,FLRT2,SMOC2,KAZALD1,TGFBR3,ADAMTS17,ADAMTS9,BMP2,ADAMTS16,THSD4,COL12A1,PXDN,LARGE,ADAMTSL1,TNFRSF11B
GO:0043062	extracellular structure organization	0.00101025351086487	0.00101025351086487	+1	ACAN,COL2A1,CAV1,APBB2,SMOC1,FLRT2,SMOC2,KAZALD1,TGFBR3,ADAMTS17,ADAMTS9,BMP2,ADAMTS16,THSD4,COL12A1,PXDN,LARGE,ADAMTSL1,TNFRSF11B
GO:0045229	external encapsulating structure organization	0.00103805401109378	0.00103805401109378	+1	ACAN,COL2A1,CAV1,APBB2,SMOC1,FLRT2,SMOC2,KAZALD1,TGFBR3,ADAMTS17,ADAMTS9,BMP2,ADAMTS16,THSD4,COL12A1,PXDN,LARGE,ADAMTSL1,TNFRSF11B
GO:0003151	outflow tract morphogenesis	0.00104027727889339	0.00104027727889339	+1	ROBO1,PARVA,NRP1,TGFBR3,GATA6,FGFR2,PITX2,EYA1,TBX2
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	0.00104027727889339	0.00104027727889339	+1	CDH4,CDH19,CDH9,RET,CX3CL1,CXADR,FAT3,TENM4,PCDH1,ROBO1,BMP2,DSC2,PTPRM,CDH2,FAT1,CADM1,PCDH17,CDH11
GO:0045165	cell fate commitment	0.00104951909732561	0.00104951909732561	+1	WNT9A,LY9,NTF4,CTSL,LEO1,GAP43,SFRP1,TENM4,NRP1,SOX13,BMP2,GATA6,FGFR2,TBX15,EYA1,TBX2,PROX1,SOX5
GO:0055023	positive regulation of cardiac muscle tissue growth	0.00107356006449035	0.00107356006449035	+1	TGFBR3,GATA6,FGFR2,YAP1,TBX2,IGF1
GO:0010631	epithelial cell migration	0.00114054269520035	0.00114054269520035	+1	INSL3,PTGS2,CCBE1,PTPRG,EPB41L4B,SMOC2,ROBO1,PLK2,BMPER,MCC,NRP1,TGFBR3,EMP2,ADAMTS9,KITLG,RHOJ,PTPRM
GO:0090132	epithelium migration	0.00127643857019715	0.00127643857019715	+1	INSL3,PTGS2,CCBE1,PTPRG,EPB41L4B,SMOC2,ROBO1,PLK2,BMPER,MCC,NRP1,TGFBR3,EMP2,ADAMTS9,KITLG,RHOJ,PTPRM
GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis	0.00128753784731877	0.00128753784731877	+1	PTGS2,PLK2,NRP1,TGFBR3,RHOJ
GO:0046622	positive regulation of organ growth	0.00139177249349474	0.00139177249349474	+1	TGFBR3,GATA6,FGFR2,YAP1,TBX2,PROX1,IGF1
GO:0001570	vasculogenesis	0.00148556020059273	0.00148556020059273	+1	MYO18B,ZFP36L1,CAV1,ACKR3,NTRK2,NRP1,TGFBR3,EMP2,YAP1
GO:0048762	mesenchymal cell differentiation	0.00148556020059273	0.00148556020059273	+1	SEMA4F,RET,LRP6,SFRP1,FERMT2,WWTR1,NRP1,TGFBR3,EMP2,KITLG,BMP2,FGFR2,PITX2,CDH2,BMP5,IGF1
